BGC,KG,Tave,PPT
CWH ms 1,Dfb,"[-2.63, -1.36, 0.79, 4.27, 8.23, 11.55, 14.92, 14.9, 11.6, 5.51, -0.06, -3.22]","[260.35, 161.32, 182.69, 130.67, 96.51, 81.4, 59.53, 66.32, 90.93, 225.58, 295.84, 229.9]"
CWH ms 2,Cfb,"[-0.35, 0.87, 3.15, 6.6, 10.15, 13.08, 15.29, 15.32, 12.09, 6.99, 2.32, -0.41]","[289.84, 185.96, 195.24, 166.65, 96.1, 86.79, 69.97, 102.01, 152.71, 344.54, 347.72, 297.4]"
CWH un,Dfc,"[-6.52, -4.52, -1.84, 2.25, 6.64, 10.06, 12.83, 12.52, 9.51, 3.64, -2.67, -7.55]","[110.22, 61.49, 75.53, 46.72, 40.52, 41.52, 36.1, 44.97, 38.06, 113.05, 127.49, 102.08]"
CWH vh 1,Cfb,"[4.03, 4.36, 5.43, 7.5, 10.18, 12.74, 14.73, 15.09, 13.18, 9.38, 5.8, 3.78]","[394.8, 285.96, 322.47, 223.58, 159.64, 126.44, 82.13, 136.47, 171.66, 374.63, 488.58, 417.82]"
CWH vh 2,Cfb,"[1.5, 2.31, 3.72, 6.44, 9.4, 12.27, 14.12, 14.57, 12.19, 8.04, 4.1, 2.06]","[359.53, 260.27, 326.08, 262.16, 195.62, 171.4, 132.54, 186.51, 273.91, 438.95, 481.82, 420.76]"
CWH vh 3,Cfb,"[2.2, 2.48, 2.95, 5.31, 8.19, 11.07, 13.2, 13.97, 11.79, 7.73, 3.87, 2.05]","[344.9, 255.05, 279.95, 216.11, 129.45, 101.17, 85.52, 127.42, 234.15, 432.67, 390.87, 410.67]"
CWH vm 1,Cfb,"[2.31, 2.74, 4.12, 6.79, 10.04, 12.84, 15.33, 15.57, 13.09, 8.28, 4.21, 1.73]","[382.8, 262.38, 295.01, 214.7, 149.63, 118.21, 73.98, 114.51, 148.35, 351.01, 477.06, 401.95]"
CWH vm 1N,Cfb,"[-1.6, 0.01, 2.44, 6.16, 9.83, 13.14, 15.19, 15.46, 12.08, 6.8, 1.99, -0.64]","[391.95, 286.65, 316.32, 262.64, 180.29, 162.31, 124.33, 170.98, 295.12, 503.03, 497.8, 440.31]"
CWH vm 2,Cfb,"[-0.77, 0.01, 1.53, 4.6, 8.29, 11.36, 14.04, 14.34, 11.47, 6.07, 1.6, -0.96]","[457.02, 296.86, 352.56, 291.09, 200.12, 158.09, 102.22, 146.46, 213.32, 451.91, 575.17, 467.81]"
CWH wh 1,Cfb,"[2.59, 3.02, 3.58, 5.95, 8.86, 11.76, 13.91, 14.58, 12.22, 8.16, 4.46, 2.69]","[251.28, 178.15, 189.73, 141.5, 87.15, 71.46, 58.87, 84.29, 150.95, 298.8, 272.14, 285.85]"
