BGC,KG,Tave,PPT
ESSFxc 3,Dfc,"[-6.82, -6.01, -4.21, -0.27, 4.31, 7.73, 10.9, 10.82, 7.59, 1.5, -4.68, -7.44]","[100.45, 57.81, 57.33, 56.15, 55.37, 51.04, 47.17, 44.91, 46.78, 82.65, 104.86, 86.15]"
ESSFxcp,ET,"[-7.47, -7.18, -5.71, -2.36, 2.22, 5.43, 9.0, 9.1, 6.16, 0.12, -5.69, -7.99]","[107.84, 68.33, 79.01, 78.03, 70.11, 75.52, 51.34, 47.22, 45.02, 96.24, 131.49, 96.87]"
ESSFxcw,Dfc,"[-6.77, -6.52, -4.99, -1.52, 3.0, 6.21, 10.02, 10.05, 7.02, 0.81, -5.14, -7.46]","[101.54, 65.06, 78.41, 74.64, 64.99, 73.65, 47.68, 42.37, 39.61, 86.76, 122.73, 92.36]"
ESSFxv 1,Dfc,"[-7.23, -6.07, -4.18, -0.3, 4.19, 7.56, 10.36, 10.19, 7.05, 1.23, -4.88, -7.98]","[130.67, 75.16, 85.87, 63.37, 51.46, 62.01, 49.31, 57.68, 57.32, 130.83, 152.33, 125.74]"
ESSFxv 2,Dfc,"[-7.33, -6.59, -4.97, -1.05, 3.73, 6.96, 10.08, 9.82, 7.19, 1.1, -5.34, -8.4]","[141.9, 83.41, 82.97, 74.16, 53.47, 59.08, 48.58, 49.01, 47.77, 126.05, 156.71, 118.93]"
ESSFxvp,ET,"[-7.26, -6.67, -5.52, -2.06, 2.43, 5.75, 8.74, 8.72, 5.99, 0.16, -5.6, -8.13]","[159.38, 94.6, 104.5, 83.86, 61.57, 68.36, 56.14, 63.59, 59.98, 154.01, 181.39, 147.58]"
ESSFxvw,ET,"[-7.22, -6.74, -5.33, -1.77, 2.9, 6.26, 9.43, 9.34, 6.49, 0.68, -5.61, -7.9]","[146.84, 86.63, 88.32, 70.53, 57.4, 57.35, 47.43, 47.51, 48.14, 126.81, 165.08, 123.31]"
ICH dk,Dfb,"[-6.41, -4.5, -0.8, 3.81, 8.47, 12.1, 14.83, 14.2, 10.17, 3.71, -2.31, -6.7]","[52.17, 31.39, 40.15, 34.85, 50.13, 78.75, 68.6, 49.99, 44.37, 49.86, 61.54, 60.87]"
ICH dm,Dfb,"[-6.0, -4.3, -0.68, 3.4, 7.89, 11.37, 15.77, 15.45, 11.0, 3.89, -2.38, -6.72]","[82.31, 53.26, 70.44, 56.46, 69.98, 85.98, 41.65, 31.5, 39.16, 61.58, 98.56, 88.92]"
ICH dw 1,Dfb,"[-3.24, -1.9, 1.81, 6.08, 10.58, 13.87, 18.12, 17.71, 13.21, 6.04, 0.37, -3.59]","[91.38, 53.5, 71.89, 56.26, 63.37, 75.16, 40.66, 33.1, 40.18, 64.15, 98.57, 96.48]"
ICH dw 3,Dfb,"[-5.8, -3.74, 0.25, 5.08, 9.94, 13.72, 16.84, 16.06, 11.5, 4.38, -1.44, -5.7]","[66.68, 40.43, 48.72, 42.48, 56.32, 67.88, 70.79, 51.76, 51.09, 68.17, 78.57, 75.68]"
ICH mc 1,Dfc,"[-7.39, -4.71, -1.55, 3.32, 7.83, 11.81, 13.8, 13.42, 8.88, 3.03, -2.8, -6.53]","[81.58, 46.89, 39.09, 39.84, 51.96, 69.54, 70.49, 71.57, 91.4, 113.14, 94.06, 85.31]"
ICH mc 2,Dfb,"[-6.43, -3.43, 0.09, 5.09, 9.48, 13.11, 15.16, 14.72, 10.32, 4.59, -1.53, -5.55]","[73.74, 43.43, 31.2, 34.34, 45.63, 60.92, 57.53, 54.67, 72.41, 104.47, 92.11, 79.15]"
ICH mk 1,Dfb,"[-5.46, -4.03, -0.73, 3.64, 8.25, 11.48, 15.58, 15.31, 11.09, 4.2, -2.2, -6.08]","[69.28, 44.05, 58.29, 45.55, 63.87, 67.77, 46.86, 34.84, 40.52, 54.61, 79.18, 73.77]"
ICH mk 2,Dfb,"[-6.05, -4.55, -1.18, 3.44, 8.17, 11.77, 15.04, 14.62, 10.41, 3.58, -2.52, -6.29]","[60.09, 37.82, 48.6, 41.98, 56.11, 66.63, 58.66, 42.39, 44.29, 56.6, 74.48, 69.15]"
ICH mk 3,Dfb,"[-6.36, -4.3, -0.91, 3.84, 8.45, 12.13, 14.87, 14.33, 10.23, 3.85, -2.07, -6.42]","[63.4, 33.65, 43.9, 41.01, 58.17, 81.99, 69.88, 53.14, 49.76, 60.49, 66.26, 68.01]"
ICH mk 4,Dfb,"[-6.79, -4.78, -0.99, 3.19, 7.75, 11.31, 15.31, 14.9, 10.42, 3.74, -2.72, -7.13]","[72.29, 52.42, 64.4, 58.77, 79.73, 112.22, 62.52, 43.07, 56.97, 71.23, 96.55, 78.5]"
ICH mk 5,Dfb,"[-8.34, -6.16, -1.51, 3.35, 8.07, 11.69, 15.13, 14.35, 10.0, 2.91, -3.92, -9.03]","[68.69, 42.59, 49.01, 46.16, 48.37, 69.61, 54.96, 47.69, 46.23, 52.27, 72.77, 66.4]"
ICH mm,Dfc,"[-7.86, -5.0, -1.43, 3.44, 8.02, 12.0, 14.66, 14.19, 9.76, 3.12, -3.17, -7.64]","[92.74, 60.99, 78.46, 56.07, 53.1, 69.29, 77.46, 68.5, 67.88, 90.53, 107.77, 89.8]"
ICH mw 1,Dfb,"[-7.69, -5.47, -1.15, 3.56, 8.62, 12.0, 15.46, 14.68, 10.37, 3.05, -3.32, -8.26]","[106.54, 65.55, 71.58, 50.77, 42.95, 54.15, 58.14, 50.76, 51.8, 81.4, 114.72, 97.51]"
ICH mw 2,Dfb,"[-4.23, -3.13, 0.47, 4.86, 9.58, 13.05, 16.82, 16.36, 11.99, 4.76, -0.88, -4.68]","[103.49, 61.71, 82.81, 62.61, 63.6, 81.15, 56.75, 47.14, 56.33, 82.83, 114.01, 106.21]"
ICH mw 3,Dfb,"[-5.43, -3.68, 0.03, 4.87, 9.75, 13.44, 16.66, 16.03, 11.5, 4.4, -1.38, -5.47]","[83.63, 51.92, 64.86, 51.31, 60.66, 72.19, 70.47, 51.72, 58.02, 80.27, 98.12, 94.56]"
ICH mw 4,Dfb,"[-4.89, -3.75, -0.52, 3.69, 8.17, 11.47, 16.01, 15.9, 11.63, 4.4, -1.74, -5.47]","[145.93, 85.29, 128.02, 85.89, 100.27, 111.06, 58.01, 41.81, 51.91, 111.42, 160.43, 147.43]"
ICH mw 5,Dfb,"[-4.96, -3.69, -0.31, 4.0, 8.58, 11.79, 16.26, 15.91, 11.59, 4.53, -1.6, -5.46]","[92.24, 57.59, 79.69, 56.78, 67.08, 75.31, 46.57, 34.76, 42.21, 74.13, 104.43, 99.72]"
ICH mw 6,Dfb,"[-3.9, -2.47, 1.51, 6.34, 11.02, 14.6, 17.99, 17.56, 12.96, 5.8, 0.01, -3.99]","[64.2, 38.01, 47.51, 44.75, 57.72, 66.12, 52.89, 39.29, 52.01, 54.63, 71.24, 71.29]"
ICH vc,Dfc,"[-8.01, -5.24, -1.89, 3.02, 7.9, 12.09, 13.79, 13.35, 8.78, 2.82, -3.22, -7.16]","[93.09, 59.07, 47.22, 32.25, 47.78, 57.15, 74.44, 81.99, 103.27, 128.26, 101.46, 95.92]"
ICH vk 1,Dfb,"[-6.8, -4.75, -1.12, 3.45, 8.38, 12.05, 15.4, 14.91, 10.34, 3.06, -2.9, -7.05]","[147.46, 98.4, 126.31, 82.98, 75.75, 91.6, 92.61, 71.26, 80.99, 145.49, 177.43, 148.36]"
ICH vk 2,Dfc,"[-7.88, -5.27, -1.87, 3.04, 7.93, 11.96, 14.2, 13.72, 9.44, 3.28, -2.86, -7.16]","[117.85, 76.93, 94.29, 66.43, 68.94, 108.6, 91.25, 81.74, 92.83, 130.7, 136.01, 116.91]"
ICH wc,Dfc,"[-9.04, -5.56, -2.02, 3.45, 8.06, 11.86, 13.43, 12.62, 8.78, 3.17, -3.36, -7.29]","[123.03, 90.97, 79.99, 45.6, 43.4, 40.83, 59.78, 76.49, 135.32, 151.73, 114.76, 121.2]"
ICH wk 1,Dfb,"[-6.27, -4.41, -0.71, 3.87, 8.78, 12.4, 15.8, 15.24, 10.75, 3.52, -2.36, -6.57]","[119.86, 77.7, 96.69, 65.65, 64.97, 80.03, 76.95, 60.74, 67.84, 111.01, 140.79, 122.87]"
ICH wk 2,Dfb,"[-6.33, -4.14, -0.77, 4.06, 8.62, 12.35, 15.04, 14.53, 10.42, 3.89, -1.86, -6.28]","[71.05, 39.57, 56.89, 47.68, 62.52, 87.9, 81.68, 63.55, 59.05, 72.51, 76.9, 77.62]"
ICH wk 3,Dfc,"[-7.15, -4.35, -0.92, 3.87, 8.47, 12.35, 14.47, 14.01, 9.81, 3.77, -2.24, -6.63]","[88.34, 52.46, 73.57, 51.64, 61.97, 92.51, 93.55, 75.2, 77.93, 88.98, 95.23, 80.31]"
ICH wk 4,Dfc,"[-6.94, -4.59, -1.55, 3.28, 7.95, 11.83, 14.17, 13.77, 9.73, 3.46, -2.43, -6.6]","[90.52, 52.62, 68.92, 57.83, 67.45, 93.86, 85.96, 69.82, 69.42, 90.9, 94.7, 89.38]"
ICH xw,Cfb,"[-2.59, -1.21, 2.84, 7.29, 11.78, 14.98, 19.24, 18.74, 14.18, 6.93, 1.19, -2.9]","[73.83, 41.8, 54.0, 44.77, 57.58, 66.15, 31.93, 27.24, 33.33, 47.64, 76.64, 80.13]"
IDF dc,Dfb,"[-5.17, -3.51, -0.54, 3.59, 8.02, 11.59, 14.62, 14.36, 10.62, 4.41, -2.03, -5.63]","[103.84, 57.31, 54.28, 39.16, 38.54, 34.78, 34.78, 35.07, 41.14, 77.05, 104.02, 86.86]"
IDF dh,Dfb,"[-3.88, -1.87, 2.43, 6.96, 11.57, 14.81, 18.91, 18.45, 14.09, 6.74, 0.13, -4.21]","[44.56, 26.11, 30.64, 30.52, 47.97, 51.47, 26.31, 24.26, 23.36, 25.64, 45.17, 51.04]"
IDF dk 1,Dfb,"[-5.77, -4.12, -0.93, 3.27, 7.75, 11.21, 14.66, 14.25, 10.38, 3.99, -2.51, -6.24]","[51.04, 29.28, 32.41, 29.81, 41.44, 46.94, 38.13, 30.67, 30.99, 39.92, 56.57, 51.83]"
IDF dk 2,Dfb,"[-4.93, -3.32, -0.1, 4.1, 8.4, 11.73, 15.31, 15.03, 11.13, 4.73, -1.65, -5.42]","[76.35, 41.35, 48.67, 41.19, 45.07, 50.24, 38.16, 29.33, 32.73, 56.06, 86.02, 76.36]"
IDF dk 3,Dfb,"[-6.9, -4.57, -0.89, 3.69, 8.41, 11.95, 14.8, 14.15, 10.12, 3.88, -2.73, -6.95]","[39.78, 22.94, 26.66, 33.8, 43.22, 55.45, 52.2, 42.12, 35.86, 37.17, 44.04, 44.21]"
IDF dk 4,Dfc,"[-7.87, -5.31, -1.72, 2.93, 7.55, 11.0, 13.91, 13.37, 9.6, 3.39, -3.4, -8.46]","[42.67, 24.22, 29.25, 28.88, 34.64, 53.38, 43.97, 40.88, 30.9, 43.42, 54.12, 43.35]"
IDF dk 5,Dfb,"[-7.91, -5.51, -0.31, 4.63, 9.21, 12.7, 16.22, 15.47, 10.74, 3.64, -3.24, -8.41]","[48.75, 28.6, 29.83, 36.16, 41.39, 63.6, 47.4, 39.78, 36.72, 37.14, 51.98, 45.82]"
IDF dm 1,Dfb,"[-4.99, -3.25, 0.45, 4.74, 9.27, 12.6, 16.55, 16.17, 11.97, 5.14, -1.34, -5.44]","[51.96, 32.89, 41.58, 37.13, 54.02, 59.47, 35.93, 28.62, 30.67, 35.33, 56.77, 55.71]"
IDF dm 2,Dfb,"[-5.91, -3.53, 0.91, 5.4, 9.92, 13.45, 17.58, 16.91, 12.2, 4.99, -1.43, -6.36]","[42.58, 27.34, 33.93, 34.9, 51.74, 75.22, 38.23, 28.72, 33.06, 34.6, 51.6, 45.94]"
IDF dw,Dfc,"[-7.34, -4.7, -1.41, 3.11, 7.46, 10.9, 13.73, 13.3, 9.85, 3.91, -2.72, -8.19]","[67.57, 37.45, 45.73, 30.01, 32.52, 41.12, 35.26, 39.18, 34.45, 70.55, 77.88, 64.18]"
IDF mw 1,Dfb,"[-3.96, -2.48, 1.48, 6.16, 10.73, 14.29, 17.82, 17.23, 12.72, 5.79, -0.1, -4.19]","[54.58, 33.55, 43.82, 39.1, 51.75, 58.47, 46.58, 34.08, 43.01, 47.76, 64.41, 59.72]"
IDF mw 2,Dfb,"[-4.81, -2.79, 1.35, 6.28, 11.0, 14.69, 17.83, 17.12, 12.49, 5.47, -0.49, -4.66]","[50.44, 28.87, 33.41, 32.81, 45.99, 53.95, 51.4, 37.59, 38.51, 43.49, 59.42, 57.2]"
IDF ww,Dsb,"[-3.68, -1.43, 1.94, 6.41, 10.7, 14.14, 17.05, 16.74, 12.69, 6.46, 0.13, -4.02]","[135.64, 75.72, 80.14, 53.89, 39.87, 36.37, 29.95, 36.93, 54.86, 127.99, 158.69, 127.63]"
IDF ww 1,Dsb,"[-3.37, -1.27, 2.31, 6.67, 11.09, 14.66, 17.83, 17.53, 13.29, 6.85, 0.33, -3.73]","[91.13, 49.49, 40.77, 32.56, 33.64, 31.29, 27.92, 31.37, 38.32, 66.04, 91.76, 78.6]"
IDF xc,Dfb,"[-3.99, -1.7, 2.13, 6.49, 11.04, 14.79, 17.91, 17.52, 13.12, 6.6, 0.01, -4.17]","[70.88, 38.94, 32.11, 27.84, 31.91, 28.14, 29.26, 30.85, 33.2, 50.16, 68.85, 60.84]"
IDF xh 1,Dfb,"[-3.53, -1.9, 1.98, 6.36, 10.85, 14.34, 18.04, 17.57, 13.19, 6.35, 0.2, -3.81]","[50.51, 28.32, 35.14, 33.71, 42.93, 47.68, 34.82, 27.07, 30.17, 36.11, 54.76, 52.68]"
IDF xh 2,Dfb,"[-5.15, -3.13, 0.57, 5.03, 9.55, 13.05, 16.44, 15.92, 11.78, 5.13, -1.34, -5.41]","[43.67, 24.26, 25.61, 25.06, 37.65, 42.26, 35.81, 28.29, 29.32, 34.55, 48.06, 45.23]"
IDF xk,Dfb,"[-6.98, -4.51, 0.76, 5.8, 10.32, 13.82, 17.51, 16.77, 11.79, 4.56, -2.12, -7.47]","[36.32, 20.72, 20.91, 30.24, 34.99, 56.03, 35.02, 30.98, 27.08, 27.51, 39.46, 34.14]"
IDF xm,Dfb,"[-7.21, -4.36, -0.00324, 4.82, 9.57, 13.1, 15.91, 15.35, 11.16, 4.73, -2.17, -6.95]","[37.01, 18.91, 22.25, 32.35, 36.16, 52.4, 47.08, 40.07, 31.89, 37.6, 41.99, 42.62]"
IDF xw,Dfb,"[-6.02, -3.58, 0.4, 5.05, 9.72, 13.42, 16.48, 15.82, 11.53, 4.95, -1.8, -6.01]","[31.49, 18.19, 18.85, 25.41, 39.07, 47.08, 42.65, 40.21, 32.03, 27.88, 31.93, 31.81]"
IDF xx 1,Dfb,"[-3.36, -1.28, 3.31, 7.84, 12.49, 15.71, 19.86, 19.31, 14.89, 7.31, 0.76, -3.65]","[45.83, 27.18, 32.1, 31.33, 46.43, 49.41, 25.08, 23.15, 22.69, 26.59, 46.53, 52.82]"
IDF xx 2,Dfb,"[-5.47, -3.0, 1.61, 6.13, 10.67, 14.16, 18.28, 17.56, 12.74, 5.45, -0.9, -5.91]","[34.93, 22.0, 27.08, 31.03, 44.44, 64.55, 31.95, 24.09, 28.86, 26.94, 41.58, 37.64]"
IMA un,ET,"[-10.23, -9.92, -8.07, -4.24, 0.5, 3.91, 7.31, 7.45, 3.53, -2.88, -8.28, -10.86]","[173.54, 116.91, 151.06, 114.26, 94.39, 120.68, 102.71, 88.93, 95.8, 167.88, 214.38, 166.68]"
IMA unp,ET,"[-5.95, -5.67, -4.48, -1.17, 2.99, 6.19, 9.73, 9.94, 6.89, 0.94, -4.67, -6.67]","[218.74, 130.27, 141.63, 113.27, 70.68, 62.92, 49.88, 52.69, 70.02, 184.46, 237.97, 189.66]"
MH  mm 1,Cfc,"[-2.68, -1.91, -0.48, 2.76, 6.68, 9.9, 12.71, 13.06, 10.21, 4.48, -0.23, -2.73]","[449.81, 296.48, 336.57, 280.89, 194.36, 154.16, 106.34, 147.21, 224.13, 468.46, 547.12, 473.53]"
MH  mm 2,Dfc,"[-5.96, -4.45, -2.31, 1.8, 6.04, 9.53, 12.06, 12.07, 8.5, 2.77, -2.89, -5.65]","[249.16, 157.0, 156.42, 119.64, 89.77, 80.54, 75.26, 99.76, 154.24, 279.01, 291.74, 251.15]"
MH  mmp,Dfc,"[-6.61, -5.38, -3.69, 0.65, 4.93, 8.39, 10.65, 10.68, 7.27, 1.6, -3.6, -5.92]","[319.79, 217.88, 212.33, 168.16, 114.49, 100.93, 94.86, 141.2, 226.63, 418.1, 387.52, 362.02]"
MH  un,Dfc,"[-10.48, -8.25, -5.5, 0.59, 6.31, 10.48, 12.47, 11.26, 6.77, 0.76, -6.43, -8.88]","[117.53, 90.5, 66.29, 49.61, 39.61, 49.12, 44.71, 73.85, 107.94, 175.11, 132.93, 131.51]"
MH  unp,Dfc,"[-11.26, -9.34, -6.35, -1.1, 4.36, 8.44, 10.27, 9.68, 5.3, -0.2, -7.08, -9.69]","[295.39, 181.81, 147.88, 88.16, 87.65, 75.62, 94.35, 152.08, 273.79, 322.57, 277.49, 268.37]"
MH  wh,Cfc,"[0.21, 0.57, 0.62, 3.15, 6.03, 9.07, 11.37, 12.3, 9.91, 5.56, 1.59, -0.03]","[451.33, 324.96, 360.8, 268.87, 147.54, 116.38, 91.74, 144.19, 270.33, 542.43, 471.73, 527.36]"
MH  wh 1,Cfb,"[-2.67, -1.25, 0.66, 3.91, 7.32, 10.54, 12.53, 13.14, 10.09, 4.76, 0.38, -1.88]","[528.88, 388.9, 476.98, 380.66, 263.37, 237.53, 181.97, 257.1, 380.24, 679.07, 712.44, 657.19]"
MH  whp,Dfc,"[-3.14, -1.81, -0.44, 2.97, 6.42, 9.57, 11.56, 12.28, 9.27, 3.91, -0.42, -2.47]","[568.24, 419.06, 499.16, 398.89, 250.89, 220.42, 183.45, 253.75, 409.78, 737.53, 723.43, 710.29]"
MS  dc 1,Dfc,"[-5.47, -4.21, -1.85, 2.1, 6.49, 10.04, 13.08, 12.95, 9.52, 3.38, -2.83, -6.09]","[125.18, 67.75, 67.81, 46.59, 45.05, 39.66, 37.11, 40.38, 47.08, 98.29, 130.2, 103.75]"
MS  dc 2,Dfc,"[-7.01, -5.44, -3.17, 1.01, 5.38, 8.71, 11.64, 11.41, 8.25, 2.42, -3.94, -7.9]","[92.95, 56.82, 68.45, 46.15, 47.2, 58.1, 46.9, 51.66, 42.88, 92.36, 110.01, 87.19]"
MS  dc 3,Dfc,"[-6.26, -5.04, -2.87, 1.13, 5.71, 9.13, 12.18, 11.99, 8.77, 2.6, -3.71, -7.0]","[130.94, 76.74, 75.74, 62.3, 51.45, 48.55, 46.44, 40.09, 50.46, 111.02, 138.19, 107.18]"
MS  dk,Dfc,"[-8.63, -6.55, -2.03, 2.67, 7.27, 10.9, 14.46, 13.81, 9.36, 2.46, -4.48, -9.32]","[57.41, 36.86, 44.09, 47.76, 53.97, 81.14, 57.74, 49.62, 47.08, 47.53, 62.59, 57.63]"
MS  dm 1,Dfb,"[-5.75, -4.46, -1.23, 2.93, 7.48, 10.78, 14.81, 14.53, 10.48, 3.83, -2.6, -6.33]","[67.05, 44.14, 59.28, 50.06, 67.18, 73.12, 48.32, 36.08, 42.62, 54.68, 79.05, 72.83]"
MS  dm 2,Dfb,"[-5.38, -4.13, -1.33, 2.66, 6.97, 10.24, 14.04, 13.86, 10.15, 3.75, -2.63, -6.04]","[93.45, 54.59, 69.34, 44.49, 48.56, 53.66, 40.08, 31.07, 34.51, 77.64, 115.49, 94.65]"
MS  dm 3,Dfc,"[-6.38, -4.8, -1.71, 2.88, 7.82, 11.29, 14.28, 13.88, 9.82, 3.3, -2.98, -6.64]","[52.55, 35.38, 45.47, 37.84, 56.94, 68.74, 57.21, 41.4, 41.93, 49.72, 64.37, 60.07]"
MS  dv,Dfc,"[-6.75, -5.3, -3.28, 0.77, 5.32, 8.77, 11.66, 11.26, 8.47, 2.58, -3.58, -7.93]","[131.21, 74.28, 85.81, 58.81, 43.39, 47.41, 39.29, 44.19, 41.22, 125.67, 157.16, 117.77]"
MS  dw,Dfb,"[-6.95, -5.02, -1.28, 2.99, 7.61, 11.15, 15.31, 14.85, 10.4, 3.43, -3.09, -7.52]","[63.89, 44.23, 56.46, 53.0, 66.49, 93.69, 47.37, 36.37, 42.39, 54.19, 78.36, 65.91]"
MS  un,Dfc,"[-6.61, -4.76, -2.52, 1.93, 6.43, 9.88, 12.06, 11.84, 8.05, 2.32, -3.7, -6.9]","[170.2, 82.55, 101.26, 69.78, 51.61, 53.91, 32.58, 62.6, 87.89, 164.16, 214.07, 173.44]"
MS  xk 1,Dfc,"[-5.58, -4.42, -1.95, 1.87, 6.2, 9.46, 13.42, 13.25, 9.65, 3.25, -3.1, -6.33]","[74.54, 44.48, 58.63, 41.06, 47.64, 60.72, 41.12, 32.7, 30.67, 59.17, 93.99, 78.95]"
MS  xk 2,Dfc,"[-6.63, -5.2, -2.24, 1.88, 6.56, 10.0, 13.25, 12.78, 9.09, 2.94, -3.61, -7.11]","[45.4, 28.46, 32.15, 31.08, 47.08, 58.0, 47.85, 35.29, 35.43, 40.77, 53.68, 48.88]"
MS  xk 3,Dfc,"[-6.85, -5.77, -3.3, 0.79, 5.37, 8.83, 12.07, 11.99, 8.37, 2.14, -4.31, -7.37]","[66.77, 37.62, 39.36, 39.09, 48.12, 45.43, 42.9, 39.86, 38.29, 50.8, 70.1, 61.16]"
MS  xv,Dfc,"[-8.1, -6.53, -3.81, 0.71, 5.44, 8.9, 11.72, 11.26, 7.69, 1.69, -4.92, -8.66]","[66.89, 35.15, 42.26, 34.57, 38.51, 67.43, 47.26, 49.63, 39.2, 63.84, 72.25, 62.16]"
PP  xh 1,Cfb,"[-1.73, -0.16, 3.98, 8.42, 13.01, 16.56, 20.29, 19.7, 15.06, 8.11, 2.2, -1.78]","[34.89, 18.27, 21.25, 25.78, 33.61, 35.69, 27.17, 22.33, 24.16, 22.46, 35.32, 37.8]"
PP  xh 2,Dfb,"[-4.31, -1.88, 2.48, 7.14, 11.74, 15.3, 18.6, 17.99, 13.5, 6.59, 0.06, -4.32]","[33.35, 17.05, 17.88, 20.6, 29.73, 36.0, 32.41, 25.21, 25.16, 27.25, 35.27, 36.35]"
PP  xw,Cfb,"[-2.7, 0.03, 4.18, 8.75, 13.39, 17.02, 20.39, 19.94, 15.36, 8.38, 1.61, -2.76]","[57.07, 31.21, 25.38, 23.1, 26.29, 21.49, 22.53, 25.04, 26.08, 38.07, 54.52, 50.81]"
SBPSdc,Dfc,"[-8.84, -5.82, -2.14, 2.75, 7.53, 11.22, 13.95, 13.26, 9.17, 3.1, -3.92, -8.78]","[50.6, 20.01, 26.82, 27.24, 36.59, 73.38, 51.43, 46.6, 38.0, 46.02, 51.41, 47.4]"
SBPSmc,Dfc,"[-8.42, -6.01, -2.45, 2.19, 6.58, 10.33, 13.18, 12.83, 8.95, 3.09, -3.6, -8.08]","[56.56, 28.62, 34.76, 30.96, 32.99, 60.92, 42.72, 42.88, 40.85, 69.2, 75.01, 59.97]"
SBPSmk,Dfc,"[-7.81, -5.29, -1.77, 2.95, 7.73, 11.34, 14.05, 13.45, 9.43, 3.3, -3.41, -7.83]","[51.27, 23.69, 29.9, 31.27, 45.79, 73.12, 58.17, 49.92, 40.97, 44.74, 52.79, 50.38]"
SBPSxc,Dfc,"[-8.19, -5.81, -2.53, 2.18, 6.78, 10.26, 13.13, 12.58, 8.89, 2.85, -3.9, -8.84]","[51.28, 28.92, 34.77, 30.18, 33.94, 54.42, 41.51, 42.98, 32.17, 51.27, 62.3, 50.2]"
SBS dh 1,Dfb,"[-7.27, -4.21, -0.38, 4.75, 9.28, 13.16, 15.58, 14.96, 10.64, 4.14, -2.1, -6.96]","[67.63, 43.82, 57.28, 41.1, 41.97, 58.94, 62.15, 55.51, 54.88, 69.37, 76.08, 64.59]"
SBS dh 2,Dfc,"[-9.1, -5.76, -2.01, 3.17, 7.91, 11.75, 14.37, 13.77, 9.56, 2.8, -4.08, -8.6]","[79.21, 53.02, 54.29, 44.18, 41.72, 52.48, 62.22, 54.66, 60.57, 68.81, 90.35, 64.03]"
SBS dk,Dfc,"[-8.62, -5.88, -2.11, 3.0, 7.68, 11.5, 13.98, 13.61, 9.5, 3.52, -3.1, -7.63]","[50.72, 25.97, 30.45, 25.01, 35.31, 58.8, 46.49, 43.31, 42.13, 55.48, 58.32, 55.12]"
SBS dw 1,Dfb,"[-6.72, -4.25, -0.53, 4.25, 8.99, 12.61, 15.27, 14.67, 10.51, 4.27, -2.06, -6.52]","[56.09, 26.59, 32.27, 32.55, 50.2, 71.28, 61.94, 50.88, 44.07, 47.57, 54.91, 53.68]"
SBS dw 2,Dfc,"[-7.84, -5.05, -1.43, 3.58, 8.42, 12.11, 14.71, 14.07, 9.85, 3.72, -3.09, -7.56]","[55.68, 25.55, 31.96, 32.35, 44.23, 71.4, 56.0, 48.84, 42.88, 49.54, 55.61, 52.86]"
SBS dw 3,Dfc,"[-9.21, -5.95, -2.07, 3.48, 8.56, 12.41, 14.77, 14.13, 9.77, 3.62, -3.36, -8.07]","[59.04, 30.42, 37.51, 31.88, 40.51, 63.51, 50.81, 46.29, 47.27, 58.58, 65.09, 61.27]"
SBS mc 1,Dfc,"[-6.76, -5.14, -2.1, 2.38, 7.17, 10.73, 13.53, 13.14, 9.14, 2.89, -3.35, -7.2]","[63.68, 33.48, 46.85, 42.39, 60.35, 89.34, 66.36, 53.67, 51.6, 59.52, 73.45, 67.77]"
SBS mc 2,Dfc,"[-8.97, -6.46, -2.98, 2.3, 6.95, 10.88, 13.22, 12.81, 8.64, 2.65, -3.99, -8.0]","[67.78, 37.56, 39.14, 31.03, 39.5, 58.79, 50.52, 49.28, 52.2, 72.62, 73.8, 68.94]"
SBS mc 3,Dfc,"[-8.53, -6.29, -2.84, 1.91, 6.49, 10.34, 12.95, 12.55, 8.63, 2.77, -3.93, -7.99]","[54.74, 24.05, 33.04, 27.14, 38.04, 71.25, 48.17, 46.19, 45.9, 62.25, 67.9, 57.93]"
SBS mh,Dfb,"[-6.93, -3.69, 0.54, 5.67, 10.5, 14.21, 16.68, 15.93, 11.48, 5.22, -1.47, -6.24]","[59.87, 26.6, 31.88, 30.75, 46.38, 67.09, 55.41, 52.15, 46.91, 50.09, 54.92, 51.97]"
SBS mk 1,Dfc,"[-10.03, -7.0, -3.18, 2.58, 7.66, 11.73, 14.0, 13.36, 8.92, 2.75, -4.42, -9.01]","[76.65, 45.24, 50.5, 44.61, 49.67, 69.67, 52.17, 49.49, 54.35, 75.03, 87.38, 79.52]"
SBS mk 2,Dfc,"[-11.8, -8.17, -4.16, 2.63, 7.69, 12.23, 14.3, 13.37, 8.75, 2.69, -4.58, -9.76]","[51.95, 33.01, 35.81, 25.66, 38.39, 61.17, 56.76, 51.72, 48.02, 55.26, 58.49, 58.74]"
SBS mm,Dfc,"[-6.77, -5.35, -2.05, 2.36, 7.0, 10.64, 13.58, 12.96, 9.18, 2.84, -3.3, -7.3]","[58.1, 34.35, 46.26, 44.33, 62.22, 78.49, 71.07, 50.96, 47.8, 57.41, 73.86, 67.9]"
SBS mw,Dfb,"[-7.33, -4.63, -1.25, 3.79, 8.7, 12.47, 15.03, 14.44, 10.11, 3.91, -2.61, -6.78]","[67.39, 30.91, 36.12, 35.69, 49.17, 75.47, 67.05, 55.64, 52.09, 56.55, 59.42, 57.95]"
