BGC,KG,Tave,PPT
CWH ms 1,Dfb,"[-4.03, -1.69, 0.47, 3.81, 7.72, 11.31, 14.17, 14.28, 10.88, 5.45, -0.43, -3.89]","[247.1, 198.49, 162.32, 114.48, 85.5, 69.87, 63.0, 69.52, 97.62, 204.62, 275.14, 259.44]"
CWH ms 2,Cfb,"[-1.67, 0.68, 2.96, 6.1, 9.59, 12.52, 14.72, 14.7, 11.56, 7.04, 1.91, -1.26]","[308.43, 225.16, 177.93, 151.68, 88.98, 80.84, 72.51, 88.43, 164.12, 346.38, 319.05, 297.79]"
CWH un,Dfc,"[-7.94, -4.97, -2.09, 1.94, 6.23, 9.7, 12.03, 11.94, 8.85, 3.71, -3.12, -8.3]","[107.29, 75.94, 74.0, 36.85, 38.34, 34.72, 38.4, 42.64, 40.65, 111.74, 127.58, 112.34]"
CWH vh 1,Cfb,"[3.04, 4.08, 5.13, 6.9, 9.55, 12.12, 14.11, 14.42, 12.6, 9.21, 5.38, 3.3]","[396.83, 331.48, 288.07, 221.93, 154.85, 130.16, 89.12, 113.94, 193.54, 391.39, 441.91, 420.92]"
CWH vh 2,Cfb,"[0.41, 2.04, 3.55, 5.71, 8.71, 11.5, 13.6, 13.94, 11.72, 7.91, 3.52, 1.14]","[387.95, 321.64, 295.05, 268.84, 199.26, 169.51, 132.37, 168.93, 288.68, 487.78, 460.74, 409.95]"
CWH vh 3,Cfb,"[0.93, 1.97, 2.91, 4.81, 7.52, 10.34, 12.7, 13.51, 11.5, 7.4, 3.29, 1.2]","[386.73, 307.87, 279.54, 254.71, 149.45, 109.82, 89.54, 125.85, 250.28, 496.36, 418.31, 437.42]"
CWH vm 1,Cfb,"[1.19, 2.47, 3.84, 6.27, 9.5, 12.33, 14.69, 14.96, 12.48, 8.18, 3.78, 1.27]","[374.79, 314.55, 269.33, 200.96, 144.61, 114.56, 81.26, 101.07, 167.78, 357.04, 443.21, 419.74]"
CWH vm 1N,Cfb,"[-2.77, -0.21, 2.3, 5.44, 9.12, 12.39, 14.7, 14.9, 11.64, 6.76, 1.42, -1.68]","[428.93, 354.2, 292.18, 258.96, 180.5, 153.3, 123.5, 157.09, 307.07, 545.88, 473.32, 433.16]"
CWH vm 2,Cfb,"[-1.97, -0.24, 1.29, 4.05, 7.72, 10.83, 13.42, 13.73, 10.88, 5.99, 1.15, -1.61]","[457.42, 362.64, 323.15, 269.16, 192.31, 148.88, 107.71, 132.7, 232.37, 461.9, 541.38, 486.98]"
CWH wh 1,Cfb,"[1.31, 2.54, 3.56, 5.41, 8.18, 11.05, 13.4, 14.12, 11.96, 7.83, 3.89, 1.83]","[284.16, 216.88, 191.25, 169.75, 102.07, 77.3, 63.03, 83.99, 165.91, 347.55, 295.39, 307.84]"
CWH wh 2,Cfc,"[-0.19, 0.76, 1.49, 3.57, 6.26, 9.26, 11.76, 12.64, 10.32, 5.98, 1.91, -0.12]","[429.22, 318.63, 289.0, 260.38, 135.62, 103.8, 79.32, 115.06, 230.21, 507.78, 425.53, 458.23]"
CWH wm,Dfc,"[-7.42, -4.26, -0.34, 3.61, 8.01, 11.48, 13.4, 12.95, 9.24, 4.36, -2.02, -5.79]","[224.46, 175.98, 147.25, 97.63, 82.57, 64.02, 71.42, 110.7, 215.64, 305.99, 225.91, 246.8]"
