BGC,KG,Tave,PPT
ESSFxc 3,Dfc,"[-8.47, -6.47, -4.52, -0.68, 3.8, 7.48, 10.25, 10.28, 6.93, 1.53, -5.12, -8.44]","[98.32, 67.63, 50.72, 47.02, 49.4, 43.18, 47.17, 48.36, 48.84, 75.59, 97.95, 96.24]"
ESSFxcp,ET,"[-9.08, -7.58, -6.04, -2.74, 1.72, 5.32, 8.3, 8.55, 5.39, 0.12, -6.05, -8.89]","[107.33, 81.19, 68.65, 67.09, 63.13, 61.15, 50.37, 54.37, 49.4, 86.5, 119.38, 111.88]"
ESSFxcw,ET,"[-8.36, -6.87, -5.33, -1.9, 2.49, 6.17, 9.28, 9.47, 6.18, 0.77, -5.46, -8.31]","[101.68, 77.56, 67.21, 65.79, 58.81, 58.96, 46.47, 51.7, 44.81, 77.05, 109.4, 108.3]"
ESSFxv 1,ET,"[-8.68, -6.46, -4.36, -0.61, 3.76, 7.15, 9.62, 9.62, 6.44, 1.36, -5.32, -8.88]","[133.27, 93.46, 83.23, 51.67, 48.73, 53.61, 52.91, 55.11, 60.32, 130.18, 147.31, 133.92]"
ESSFxv 2,ET,"[-8.98, -7.07, -5.25, -1.42, 3.26, 6.64, 9.43, 9.28, 6.58, 1.16, -5.8, -9.39]","[137.56, 98.45, 76.42, 59.71, 48.7, 50.81, 49.31, 50.37, 49.55, 118.25, 149.39, 131.37]"
ESSFxvp,ET,"[-8.72, -7.1, -5.73, -2.37, 2.0, 5.37, 7.98, 8.16, 5.37, 0.27, -6.04, -8.99]","[158.53, 116.55, 101.08, 67.34, 58.1, 58.68, 59.78, 61.14, 63.28, 151.81, 177.24, 159.75]"
ESSFxvw,ET,"[-8.9, -7.21, -5.64, -2.2, 2.38, 5.96, 8.79, 8.79, 5.88, 0.73, -6.04, -8.9]","[142.73, 100.73, 78.44, 58.59, 51.5, 49.3, 47.61, 49.99, 49.8, 116.13, 154.32, 137.3]"
ICH dk,Dfc,"[-8.37, -4.9, -1.07, 3.54, 8.13, 12.04, 14.24, 13.83, 9.48, 3.99, -2.77, -7.79]","[56.59, 38.95, 30.35, 31.91, 43.31, 62.05, 64.8, 63.06, 48.53, 42.4, 52.06, 70.31]"
ICH dm,Dfb,"[-7.64, -4.19, -1.02, 3.44, 7.82, 11.91, 15.2, 15.12, 10.14, 4.1, -2.59, -7.07]","[94.57, 65.35, 62.62, 55.14, 64.54, 69.67, 38.5, 43.41, 48.29, 56.8, 102.04, 102.72]"
ICH dw 1,Dfb,"[-4.87, -1.88, 1.46, 5.99, 10.39, 14.3, 17.45, 17.31, 12.37, 6.09, 0.12, -4.05]","[96.24, 65.79, 60.58, 51.79, 57.52, 60.93, 39.5, 49.15, 45.1, 59.63, 97.34, 113.31]"
ICH dw 3,Dfb,"[-7.67, -4.22, 0.03, 4.88, 9.73, 13.83, 16.29, 15.72, 10.92, 4.63, -1.89, -6.63]","[78.47, 50.77, 36.43, 40.59, 48.18, 53.09, 67.83, 62.65, 53.73, 58.09, 67.94, 94.03]"
ICH mc 1,Dfc,"[-8.78, -5.39, -1.56, 2.81, 7.23, 11.08, 13.42, 13.0, 8.63, 3.25, -3.36, -7.92]","[91.16, 56.76, 41.03, 36.46, 52.39, 59.11, 68.94, 69.23, 90.61, 118.07, 87.49, 85.7]"
ICH mc 2,Dfb,"[-7.87, -4.0, 0.08, 4.58, 8.9, 12.41, 14.77, 14.3, 10.04, 4.82, -2.06, -6.94]","[83.46, 53.15, 32.19, 31.23, 45.03, 50.71, 56.75, 53.19, 72.3, 108.88, 85.91, 79.66]"
ICH mk 1,Dfb,"[-7.07, -4.15, -1.04, 3.45, 7.91, 11.78, 14.84, 14.82, 10.26, 4.25, -2.42, -6.75]","[73.63, 54.11, 46.1, 41.5, 57.05, 53.96, 44.48, 50.8, 44.44, 49.29, 69.31, 88.44]"
ICH mk 2,Dfc,"[-7.92, -4.96, -1.47, 3.19, 7.86, 11.9, 14.38, 14.22, 9.71, 3.77, -2.89, -7.23]","[68.9, 46.31, 35.47, 40.29, 47.7, 50.92, 55.25, 53.89, 48.02, 47.03, 63.04, 84.76]"
ICH mk 3,Dfc,"[-8.37, -4.71, -1.16, 3.59, 8.1, 11.97, 14.34, 13.94, 9.58, 4.16, -2.61, -7.6]","[66.36, 41.77, 34.31, 36.06, 51.64, 66.74, 66.73, 65.0, 53.42, 53.12, 56.81, 76.74]"
ICH mk 4,Dfc,"[-8.4, -4.68, -1.31, 3.35, 7.87, 12.0, 15.04, 14.76, 9.68, 4.3, -2.78, -7.5]","[99.51, 71.62, 62.37, 56.3, 76.07, 84.84, 60.22, 53.91, 63.01, 70.1, 97.03, 102.56]"
ICH mk 5,Dfc,"[-10.11, -6.05, -1.54, 3.49, 8.2, 12.29, 14.81, 14.25, 9.39, 3.42, -4.18, -9.56]","[89.81, 57.0, 40.56, 43.49, 43.52, 55.6, 54.73, 51.9, 47.88, 53.93, 72.69, 99.7]"
ICH mm,Dfc,"[-9.59, -5.6, -1.54, 3.33, 7.95, 12.02, 14.27, 13.89, 9.18, 3.69, -3.8, -8.57]","[111.47, 79.93, 63.38, 50.48, 46.64, 58.22, 76.02, 74.06, 69.14, 88.54, 100.47, 111.18]"
ICH mw 1,Dfc,"[-9.64, -5.64, -1.21, 3.59, 8.66, 12.35, 15.08, 14.51, 9.73, 3.48, -3.75, -9.03]","[139.89, 88.33, 57.31, 47.77, 38.02, 44.12, 57.79, 53.8, 51.07, 82.35, 112.79, 145.95]"
ICH mw 2,Dfb,"[-5.92, -3.14, 0.24, 4.8, 9.46, 13.44, 16.25, 16.03, 11.27, 4.92, -1.19, -5.25]","[117.97, 79.36, 66.06, 58.1, 55.78, 64.61, 53.7, 61.01, 59.82, 78.98, 108.03, 138.79]"
ICH mw 3,Dfb,"[-7.29, -4.04, -0.17, 4.71, 9.56, 13.6, 16.12, 15.71, 10.9, 4.65, -1.81, -6.35]","[98.96, 65.59, 49.1, 48.44, 52.24, 56.49, 67.42, 62.29, 61.17, 70.73, 86.64, 121.32]"
ICH mw 4,Dfb,"[-6.54, -3.74, -0.91, 3.6, 7.99, 11.91, 15.31, 15.49, 10.76, 4.42, -2.0, -5.89]","[150.28, 102.65, 109.47, 79.66, 91.62, 89.67, 56.63, 63.84, 60.33, 101.98, 161.88, 168.54]"
ICH mw 5,Dfb,"[-6.6, -3.77, -0.66, 3.86, 8.31, 12.16, 15.56, 15.48, 10.75, 4.55, -1.84, -6.03]","[95.09, 72.33, 65.19, 50.79, 60.14, 60.62, 45.28, 53.05, 45.35, 68.38, 96.17, 117.13]"
ICH mw 6,Dfb,"[-5.68, -2.65, 1.27, 6.21, 10.82, 14.88, 17.39, 17.21, 12.32, 6.0, -0.28, -4.73]","[74.69, 46.73, 35.97, 41.93, 49.89, 50.75, 49.63, 49.22, 56.48, 48.43, 62.69, 91.89]"
ICH vc,Dfc,"[-9.28, -5.92, -1.85, 2.45, 7.18, 11.25, 13.39, 12.9, 8.57, 2.92, -3.86, -8.49]","[99.5, 67.79, 49.81, 31.21, 50.28, 51.78, 70.58, 77.0, 100.32, 135.89, 96.13, 95.15]"
ICH vk 1,Dfc,"[-8.59, -5.08, -1.24, 3.39, 8.33, 12.27, 14.95, 14.64, 9.75, 3.41, -3.37, -7.83]","[180.87, 127.86, 98.38, 77.49, 65.7, 73.16, 89.66, 80.73, 83.1, 136.73, 163.49, 199.65]"
ICH vk 2,Dfc,"[-9.86, -5.8, -2.25, 2.75, 7.67, 11.65, 13.8, 13.35, 8.81, 3.72, -3.63, -8.59]","[122.74, 100.11, 79.63, 55.12, 64.13, 94.26, 89.1, 90.92, 100.05, 129.03, 119.26, 127.17]"
ICH wc,Dfc,"[-10.3, -6.22, -1.93, 2.77, 7.21, 10.94, 13.03, 12.2, 8.64, 3.28, -4.04, -8.61]","[125.0, 98.78, 82.07, 47.71, 45.3, 40.01, 54.47, 67.95, 121.26, 163.13, 109.99, 122.26]"
ICH wk 1,Dfb,"[-8.08, -4.68, -0.85, 3.8, 8.7, 12.64, 15.33, 14.97, 10.13, 3.84, -2.8, -7.33]","[145.87, 100.78, 75.5, 61.25, 56.58, 63.98, 74.37, 70.12, 70.04, 104.68, 130.95, 165.37]"
ICH wk 2,Dfc,"[-8.27, -4.54, -0.96, 3.84, 8.34, 12.21, 14.56, 14.18, 9.83, 4.28, -2.43, -7.4]","[75.71, 50.0, 44.62, 41.8, 55.66, 72.16, 78.62, 77.14, 63.36, 65.21, 66.63, 88.03]"
ICH wk 3,Dfc,"[-9.05, -4.88, -1.21, 3.63, 8.24, 12.11, 14.07, 13.64, 9.17, 4.27, -2.97, -7.93]","[95.22, 68.59, 61.11, 43.64, 56.37, 79.44, 91.32, 83.9, 82.7, 87.73, 85.21, 90.06]"
ICH wk 4,Dfc,"[-8.91, -5.0, -1.79, 3.02, 7.66, 11.56, 13.72, 13.41, 9.13, 3.89, -3.1, -7.85]","[92.89, 67.07, 56.96, 48.2, 61.66, 79.63, 83.68, 81.52, 74.3, 85.72, 82.57, 98.16]"
ICH xw,Dfb,"[-4.2, -1.21, 2.46, 7.18, 11.55, 15.4, 18.52, 18.3, 13.29, 6.96, 0.94, -3.37]","[75.79, 50.97, 46.11, 41.01, 52.74, 53.97, 31.36, 42.42, 38.69, 43.61, 76.14, 90.98]"
IDF dc,Dsc,"[-6.76, -3.96, -0.86, 3.15, 7.5, 11.32, 13.94, 13.79, 9.97, 4.4, -2.45, -6.54]","[99.58, 67.65, 48.2, 32.93, 34.23, 29.81, 35.13, 37.12, 42.8, 70.53, 97.17, 97.46]"
IDF dh,Dfb,"[-5.41, -1.94, 2.08, 6.72, 11.15, 15.09, 18.09, 17.88, 13.13, 6.67, -0.07, -4.87]","[44.6, 32.72, 25.92, 27.47, 45.15, 42.43, 25.85, 40.6, 26.05, 24.25, 40.59, 59.4]"
IDF dk 1,Dfc,"[-7.48, -4.55, -1.27, 2.88, 7.25, 11.21, 13.89, 13.71, 9.49, 4.02, -2.87, -7.17]","[53.61, 34.78, 25.37, 28.25, 35.35, 36.27, 36.18, 38.5, 34.47, 33.1, 48.02, 61.31]"
IDF dk 2,Dfb,"[-6.59, -3.66, -0.45, 3.73, 7.9, 11.83, 14.54, 14.47, 10.23, 4.74, -1.98, -6.25]","[80.53, 49.45, 37.72, 39.36, 38.55, 38.74, 36.57, 38.09, 37.33, 45.37, 72.88, 92.04]"
IDF dk 3,Dfc,"[-8.77, -5.09, -1.19, 3.36, 7.94, 11.76, 14.17, 13.67, 9.4, 4.01, -3.19, -8.13]","[41.15, 26.84, 21.99, 29.39, 38.09, 45.17, 50.28, 48.78, 38.08, 32.68, 39.21, 49.65]"
IDF dk 4,Dfc,"[-9.52, -5.82, -1.96, 2.66, 7.13, 10.64, 13.21, 12.85, 9.0, 3.53, -3.88, -9.5]","[41.94, 29.07, 27.81, 22.69, 32.51, 45.37, 45.3, 41.02, 32.23, 41.85, 52.16, 47.32]"
IDF dk 5,Dfb,"[-9.59, -5.3, -0.35, 4.79, 9.37, 13.35, 15.9, 15.37, 10.15, 4.17, -3.45, -8.85]","[62.93, 38.17, 24.64, 33.86, 37.15, 50.71, 47.64, 43.89, 38.3, 38.39, 52.05, 67.82]"
IDF dm 1,Dfb,"[-6.55, -3.36, 0.13, 4.49, 8.85, 12.85, 15.74, 15.6, 11.05, 5.1, -1.56, -6.16]","[53.38, 40.64, 33.94, 34.04, 50.09, 47.92, 34.4, 44.2, 34.44, 32.78, 48.51, 65.91]"
IDF dm 2,Dfb,"[-7.54, -3.37, 0.65, 5.55, 9.98, 14.1, 17.21, 16.73, 11.43, 5.44, -1.52, -6.67]","[54.45, 35.52, 31.39, 33.79, 48.3, 58.49, 36.16, 36.33, 37.88, 33.6, 52.5, 57.71]"
IDF dw,Dsc,"[-8.77, -5.13, -1.62, 2.82, 7.05, 10.51, 12.92, 12.73, 9.22, 4.03, -3.14, -9.01]","[67.72, 46.58, 44.6, 24.09, 30.97, 35.1, 37.83, 37.3, 36.46, 70.16, 76.44, 69.23]"
IDF mw 1,Dfb,"[-5.67, -2.67, 1.22, 6.0, 10.47, 14.57, 17.15, 16.82, 12.01, 5.95, -0.36, -4.92]","[61.45, 40.55, 33.02, 36.47, 44.81, 45.0, 43.53, 45.08, 47.25, 41.58, 55.52, 73.95]"
IDF mw 2,Dfb,"[-6.69, -3.2, 1.07, 6.04, 10.69, 14.8, 17.19, 16.73, 11.8, 5.66, -0.87, -5.6]","[58.08, 35.42, 24.38, 31.48, 39.13, 41.24, 48.44, 47.5, 41.71, 36.16, 50.41, 70.48]"
IDF ww,Dfb,"[-5.14, -1.77, 1.66, 5.97, 10.18, 13.85, 16.35, 16.15, 12.02, 6.47, -0.23, -4.84]","[135.07, 92.45, 71.02, 47.42, 35.52, 31.55, 31.39, 37.62, 58.12, 119.92, 146.27, 139.57]"
IDF ww 1,Dsb,"[-4.92, -1.69, 1.96, 6.19, 10.54, 14.44, 17.13, 16.94, 12.59, 6.82, -0.04, -4.59]","[87.5, 58.66, 34.21, 28.71, 29.17, 26.43, 28.12, 34.27, 40.18, 58.29, 82.91, 89.25]"
IDF xc,Dfb,"[-5.6, -2.15, 1.8, 6.03, 10.5, 14.55, 17.24, 16.95, 12.44, 6.6, -0.38, -5.12]","[68.81, 45.48, 27.3, 24.16, 27.99, 23.83, 29.25, 33.61, 34.74, 44.66, 62.8, 68.66]"
IDF xh 1,Dfb,"[-5.16, -2.13, 1.67, 6.08, 10.44, 14.54, 17.27, 17.03, 12.33, 6.38, -0.05, -4.57]","[53.72, 34.04, 27.67, 31.68, 38.49, 37.19, 33.01, 37.72, 34.3, 31.11, 45.94, 63.69]"
IDF xh 2,Dfb,"[-6.89, -3.57, 0.23, 4.66, 9.06, 13.06, 15.68, 15.4, 10.9, 5.18, -1.7, -6.34]","[46.32, 28.9, 19.53, 23.99, 31.73, 32.35, 33.74, 35.57, 32.47, 28.36, 40.49, 53.58]"
IDF xk,Dfb,"[-8.6, -4.24, 0.68, 5.98, 10.52, 14.53, 17.22, 16.7, 11.19, 5.15, -2.25, -7.82]","[46.24, 27.13, 17.64, 28.58, 31.61, 44.53, 34.85, 35.0, 29.32, 28.05, 39.89, 48.07]"
IDF xm,Dfb,"[-9.05, -4.87, -0.27, 4.51, 9.12, 12.78, 15.33, 14.85, 10.57, 4.86, -2.69, -8.16]","[36.65, 22.11, 19.83, 26.25, 32.99, 44.81, 46.81, 42.84, 32.94, 34.89, 38.97, 46.9]"
IDF xw,Dfb,"[-7.79, -4.07, 0.07, 4.67, 9.21, 13.26, 15.82, 15.33, 10.77, 5.02, -2.22, -7.09]","[32.65, 20.97, 15.54, 22.61, 34.11, 37.89, 41.16, 46.43, 34.18, 24.11, 28.58, 36.0]"
IDF xx 1,Dfb,"[-4.89, -1.34, 2.95, 7.61, 12.07, 16.0, 19.02, 18.74, 13.92, 7.24, 0.55, -4.28]","[45.55, 33.99, 27.56, 28.08, 43.88, 40.94, 24.81, 39.83, 25.45, 25.17, 42.45, 61.07]"
IDF xx 2,Dfb,"[-7.11, -2.85, 1.33, 6.27, 10.72, 14.81, 17.9, 17.37, 11.95, 5.89, -0.99, -6.21]","[44.69, 28.55, 25.2, 30.13, 41.59, 50.25, 30.09, 30.94, 33.27, 25.97, 42.33, 46.74]"
IMA un,ET,"[-11.97, -10.2, -8.2, -4.29, 0.46, 4.14, 6.91, 7.2, 2.93, -2.42, -8.72, -11.62]","[209.66, 152.69, 123.25, 104.61, 83.98, 98.31, 101.12, 97.84, 98.6, 163.83, 203.84, 219.79]"
IMA unp,ET,"[-7.41, -6.04, -4.8, -1.62, 2.46, 5.98, 9.0, 9.35, 6.18, 0.9, -5.04, -7.44]","[212.09, 157.64, 124.06, 99.07, 62.06, 53.77, 51.72, 56.04, 74.7, 167.39, 219.8, 213.76]"
MH  mm 1,Dfc,"[-3.9, -2.18, -0.69, 2.2, 6.1, 9.35, 12.09, 12.47, 9.64, 4.41, -0.72, -3.44]","[455.27, 364.53, 310.69, 260.1, 188.43, 142.6, 110.24, 135.84, 240.19, 484.63, 519.37, 490.51]"
MH  mm 2,Dfc,"[-7.38, -4.85, -2.44, 1.24, 5.41, 8.95, 11.5, 11.54, 8.04, 2.8, -3.4, -6.7]","[254.09, 188.42, 148.16, 109.87, 84.99, 71.13, 74.92, 95.12, 155.63, 282.14, 274.83, 263.0]"
MH  mmp,Dfc,"[-7.87, -5.74, -3.72, -0.00826666666666667, 4.2, 7.61, 10.22, 10.21, 6.95, 1.64, -4.17, -7.14]","[348.32, 262.89, 206.16, 164.11, 115.91, 91.74, 91.49, 131.91, 225.52, 449.6, 369.42, 359.86]"
MH  un,Dfc,"[-12.8, -9.49, -5.57, -0.3, 5.33, 9.35, 11.9, 10.63, 6.37, 0.67, -7.41, -10.7]","[103.6, 90.75, 70.12, 56.11, 38.88, 47.65, 45.77, 67.59, 110.0, 184.12, 125.6, 137.09]"
MH  unp,ET,"[-13.44, -10.38, -6.34, -1.99, 3.41, 7.37, 9.78, 9.12, 4.99, -0.24, -8.04, -11.39]","[275.0, 192.44, 155.1, 97.75, 84.58, 70.46, 88.16, 141.98, 265.94, 340.66, 259.92, 279.29]"
MH  wh,Cfc,"[-1.04, 0.08, 0.6, 2.66, 5.38, 8.37, 10.86, 11.85, 9.62, 5.21, 1.04, -0.86]","[514.85, 397.07, 363.81, 323.49, 173.38, 127.53, 98.65, 145.2, 294.7, 628.9, 514.05, 573.02]"
MH  wh 1,Dfc,"[-3.79, -1.5, 0.51, 3.16, 6.61, 9.75, 12.02, 12.54, 9.66, 4.65, -0.24, -2.9]","[573.95, 489.28, 437.85, 390.58, 273.08, 230.0, 181.37, 240.53, 397.59, 766.53, 687.93, 637.36]"
MH  whp,Dfc,"[-4.31, -2.13, -0.54, 2.27, 5.71, 8.78, 11.07, 11.73, 8.92, 3.74, -1.05, -3.5]","[624.41, 528.14, 472.44, 425.34, 270.28, 215.25, 183.09, 245.32, 428.36, 846.36, 721.17, 702.79]"
MS  dc 1,Dfc,"[-7.02, -4.64, -2.17, 1.66, 5.97, 9.77, 12.39, 12.37, 8.86, 3.36, -3.25, -6.96]","[119.74, 80.5, 60.77, 39.24, 39.93, 33.88, 37.67, 42.47, 49.16, 90.39, 122.22, 116.52]"
MS  dc 2,Dfc,"[-8.45, -5.89, -3.38, 0.73, 4.96, 8.33, 10.83, 10.84, 7.61, 2.54, -4.37, -8.71]","[93.02, 70.64, 66.74, 36.98, 44.99, 49.43, 50.25, 49.24, 45.39, 91.81, 108.14, 94.1]"
MS  dc 3,Dfc,"[-7.87, -5.5, -3.17, 0.72, 5.21, 8.82, 11.53, 11.43, 8.15, 2.62, -4.16, -7.93]","[125.23, 90.9, 69.16, 50.74, 46.51, 42.05, 47.18, 41.4, 52.18, 103.69, 131.46, 119.24]"
MS  dk,Dfc,"[-10.31, -6.36, -2.09, 2.85, 7.47, 11.58, 14.19, 13.75, 8.77, 3.05, -4.64, -9.77]","[74.75, 49.12, 37.27, 45.08, 48.88, 64.11, 57.82, 54.65, 49.54, 49.06, 62.69, 84.59]"
MS  dm 1,Dfc,"[-7.34, -4.59, -1.54, 2.72, 7.1, 11.06, 14.05, 14.0, 9.62, 3.85, -2.82, -7.04]","[70.37, 54.02, 47.01, 45.62, 60.6, 58.16, 45.86, 53.01, 47.18, 49.62, 67.73, 86.48]"
MS  dm 2,Dfc,"[-7.01, -4.44, -1.67, 2.29, 6.47, 10.35, 13.25, 13.27, 9.25, 3.74, -2.94, -6.84]","[98.22, 64.69, 53.57, 42.22, 42.05, 41.53, 38.47, 41.44, 39.46, 63.32, 96.73, 113.97]"
MS  dm 3,Dfc,"[-8.26, -5.25, -2.02, 2.6, 7.44, 11.39, 13.56, 13.44, 9.03, 3.46, -3.35, -7.6]","[59.75, 43.06, 32.85, 36.77, 47.69, 51.7, 53.15, 53.37, 46.17, 40.41, 53.68, 73.11]"
MS  dv,Dfc,"[-8.23, -5.79, -3.53, 0.45, 4.89, 8.42, 10.9, 10.7, 7.85, 2.67, -4.05, -8.75]","[127.28, 90.12, 83.34, 45.97, 40.53, 40.03, 41.17, 42.42, 43.49, 122.26, 154.85, 129.05]"
MS  dw,Dfc,"[-8.57, -4.88, -1.56, 3.14, 7.7, 11.83, 14.98, 14.69, 9.65, 3.93, -3.18, -7.87]","[85.47, 59.39, 53.71, 50.76, 63.18, 72.26, 45.45, 45.91, 47.84, 52.06, 79.47, 84.63]"
MS  un,Dfc,"[-8.03, -5.03, -2.69, 1.55, 5.94, 9.4, 11.41, 11.26, 7.49, 2.43, -4.12, -7.83]","[180.28, 102.92, 96.57, 59.53, 48.57, 48.33, 35.08, 58.32, 92.65, 164.66, 202.2, 178.22]"
MS  xk 1,Dfc,"[-7.24, -4.73, -2.31, 1.5, 5.68, 9.58, 12.6, 12.63, 8.69, 3.21, -3.39, -7.13]","[79.45, 52.8, 46.09, 38.98, 42.04, 46.18, 38.93, 44.43, 36.49, 47.75, 77.17, 97.09]"
MS  xk 2,Dfc,"[-8.43, -5.68, -2.59, 1.51, 6.07, 10.0, 12.49, 12.27, 8.19, 3.01, -3.98, -8.08]","[48.77, 34.0, 24.34, 29.87, 39.33, 44.14, 44.61, 44.45, 39.36, 33.25, 44.97, 57.65]"
MS  xk 3,Dfc,"[-8.54, -6.23, -3.63, 0.38, 4.85, 8.64, 11.41, 11.47, 7.65, 2.17, -4.72, -8.41]","[67.29, 43.4, 33.0, 34.46, 42.24, 37.42, 42.09, 44.8, 40.46, 44.55, 63.42, 69.07]"
MS  xv,Dfc,"[-9.74, -7.0, -3.99, 0.43, 5.01, 8.5, 11.05, 10.74, 7.1, 1.87, -5.42, -9.81]","[67.86, 43.18, 40.68, 27.38, 36.26, 57.82, 49.62, 49.09, 40.75, 62.43, 68.36, 66.34]"
PP  xh 1,Dfb,"[-3.33, -0.36, 3.68, 8.14, 12.58, 16.77, 19.48, 19.12, 14.16, 8.1, 1.94, -2.54]","[36.49, 21.8, 16.91, 24.16, 30.68, 28.07, 25.83, 32.74, 27.53, 19.74, 28.98, 45.23]"
PP  xh 2,Dfb,"[-6.08, -2.35, 2.13, 6.77, 11.26, 15.32, 17.83, 17.48, 12.61, 6.66, -0.29, -5.27]","[35.9, 20.36, 13.48, 19.86, 24.84, 27.35, 30.31, 31.67, 27.94, 22.2, 29.6, 43.09]"
PP  xw,Dsb,"[-4.29, -0.39, 3.83, 8.3, 12.84, 16.86, 19.72, 19.39, 14.6, 8.37, 1.22, -3.71]","[56.73, 36.65, 20.44, 20.97, 22.6, 17.58, 22.16, 28.62, 27.81, 32.54, 48.18, 58.12]"
SBPSdc,Dfc,"[-10.71, -6.4, -2.37, 2.49, 7.09, 10.81, 13.36, 12.78, 8.6, 3.31, -4.49, -10.16]","[50.5, 24.42, 25.47, 20.9, 34.86, 62.36, 52.62, 48.14, 39.65, 44.47, 47.23, 50.95]"
SBPSmc,Dfc,"[-10.0, -6.34, -2.52, 1.87, 6.11, 9.87, 12.6, 12.31, 8.42, 3.3, -4.08, -9.36]","[60.26, 35.68, 33.69, 25.41, 30.82, 52.09, 45.13, 41.9, 41.95, 68.69, 69.23, 62.24]"
SBPSmk,Dfc,"[-9.75, -5.84, -2.02, 2.67, 7.31, 11.06, 13.45, 12.99, 8.78, 3.51, -3.95, -9.14]","[51.95, 28.63, 25.85, 25.95, 41.57, 60.49, 57.1, 55.74, 43.46, 41.14, 47.02, 55.6]"
SBPSxc,Dfc,"[-9.78, -6.28, -2.73, 1.91, 6.36, 9.88, 12.41, 12.04, 8.29, 3.01, -4.37, -9.87]","[51.66, 35.46, 33.52, 23.89, 32.05, 46.51, 43.56, 42.32, 33.59, 50.24, 59.77, 53.95]"
SBS dh 1,Dfb,"[-8.99, -4.83, -0.49, 4.63, 9.2, 13.13, 15.19, 14.63, 10.05, 4.73, -2.78, -7.93]","[79.92, 57.33, 46.7, 36.45, 36.99, 49.9, 60.99, 60.11, 56.11, 68.44, 70.98, 78.55]"
SBS dh 2,Dfc,"[-10.84, -6.42, -2.14, 3.04, 7.87, 11.82, 14.03, 13.53, 8.95, 3.42, -4.68, -9.48]","[99.89, 70.89, 44.28, 40.26, 36.34, 44.39, 61.47, 55.62, 60.26, 69.78, 86.62, 82.15]"
SBS dk,Dfc,"[-10.34, -6.3, -2.19, 2.61, 7.16, 10.92, 13.53, 13.13, 9.03, 3.8, -3.66, -9.16]","[55.31, 32.34, 29.41, 20.75, 33.17, 48.69, 47.56, 43.61, 42.51, 54.99, 52.78, 57.15]"
SBS dw 1,Dfc,"[-8.73, -4.74, -0.79, 3.98, 8.59, 12.39, 14.72, 14.25, 9.85, 4.54, -2.61, -7.81]","[57.24, 32.51, 26.25, 27.88, 45.0, 58.78, 59.49, 59.99, 46.84, 42.56, 47.59, 59.75]"
SBS dw 2,Dfc,"[-9.82, -5.64, -1.68, 3.3, 7.98, 11.77, 14.16, 13.61, 9.24, 3.94, -3.66, -9.0]","[56.04, 31.27, 28.35, 26.24, 40.85, 59.83, 55.29, 54.2, 45.21, 46.29, 49.23, 57.57]"
SBS dw 3,Dfc,"[-11.11, -6.66, -2.31, 3.1, 8.07, 11.83, 14.27, 13.64, 9.2, 3.88, -4.07, -9.75]","[59.95, 37.72, 35.39, 25.33, 39.16, 53.65, 51.28, 48.7, 48.61, 57.16, 57.75, 63.56]"
SBS mc 1,Dfc,"[-8.77, -5.61, -2.37, 2.11, 6.77, 10.56, 12.95, 12.72, 8.45, 3.15, -3.86, -8.43]","[66.3, 41.0, 36.82, 37.37, 53.04, 72.31, 63.17, 64.5, 55.35, 51.96, 62.99, 76.6]"
SBS mc 2,Dfc,"[-10.66, -7.02, -3.06, 1.83, 6.38, 10.23, 12.79, 12.34, 8.23, 2.9, -4.56, -9.5]","[73.26, 45.62, 38.64, 26.9, 37.66, 49.17, 50.9, 49.06, 52.29, 73.29, 67.21, 71.14]"
SBS mc 3,Dfc,"[-10.29, -6.78, -3.0, 1.6, 6.01, 9.87, 12.38, 12.05, 8.09, 2.99, -4.48, -9.43]","[57.17, 29.86, 31.69, 21.69, 35.77, 60.62, 49.93, 46.57, 46.88, 60.93, 62.31, 60.63]"
SBS mh,Dfb,"[-8.94, -4.28, 0.29, 5.41, 10.13, 13.83, 16.18, 15.5, 10.91, 5.49, -2.12, -7.72]","[58.62, 32.37, 28.32, 24.25, 43.37, 57.73, 54.67, 57.22, 48.87, 47.3, 48.57, 55.93]"
SBS mk 1,Dfc,"[-11.87, -7.84, -3.5, 2.18, 7.23, 11.15, 13.52, 12.9, 8.33, 3.03, -5.17, -10.65]","[76.86, 54.95, 47.15, 36.66, 49.03, 58.98, 52.53, 52.14, 56.23, 73.98, 76.71, 80.77]"
SBS mk 2,Dfc,"[-13.54, -9.24, -4.6, 2.1, 7.24, 11.66, 13.85, 12.93, 8.16, 2.95, -5.4, -11.29]","[52.45, 38.35, 33.51, 22.98, 39.33, 51.83, 57.41, 51.69, 49.72, 56.26, 51.35, 56.68]"
SBS mm,Dfc,"[-8.73, -5.79, -2.33, 2.09, 6.67, 10.66, 12.95, 12.59, 8.48, 3.07, -3.73, -8.34]","[65.26, 42.6, 34.48, 41.93, 52.92, 60.76, 66.9, 64.14, 51.94, 47.95, 62.46, 80.84]"
SBS mw,Dfc,"[-9.36, -5.19, -1.49, 3.52, 8.32, 12.08, 14.55, 14.02, 9.54, 4.2, -3.28, -8.27]","[66.11, 37.83, 31.68, 28.32, 45.93, 64.83, 65.94, 61.73, 54.33, 53.08, 52.25, 62.45]"
